,,,,,STATE BEHAVIOURS ,,,AG = give/receive/mutual,,,Ag = give/receive/mutual,,*e.g. copulation; stereotypic behaviour,"For below, give names where possible",,*Near: =/< 1m,EVENTS,"*If response is to conspecifics out of sight, e.g. in aNother pod, then give 0S",,,EMOTIONAL AROUSAL,,,,,,,,,,,,,,*Full display = a combination of hoots/run/banging,,,,CONSOLATION,,,,,,Consolation behaviour recorded for fight only,,,,,,,,,,,,,,RECONCILIATION,,,,,,,,,,,,,,
Chimp,Day,Start time,Time,Pod,Fo,Re/Gr,Tr,AG,Pl,Di,Ag,OS,O*,Sitting with conspecific?,Grooming with conspecific?,*Near others?,Full Display; hoots only; or fight?,Name of conspecific(s) involved*,Does focal respond?,If fight: does focal join in?,Look towards conspecific?,Look around?,Facial expression?,Move,Piloerection,Vocalisation,Sway,Bipedal stand/bipedal move,Bipedal sway,Banging,Urinating,Bob,Crouch bob,Arm wave,*Full Display in response?,Approach aNother chimp?,Approached by?,Other?,Does focal show consolation behaviour after a fight between conspecifics?,Is consolation offered to focal individual after a fight?,Does focal offer support during a fight?,Does focal provide intervention during a fight?,Consolation offered to winner or loser?,Name of conspecific,Name of aggressor (started fight),Name of victim,Approaches conspecific?,Approached by conspecific?,Facial expression?,Hold out hand,Kiss,Embrace,Other?,Touch conspecific?,Groom conspecific?,Play with conspecific?,Vocalistion?,Length of contact,Name of conspecific(s) fought with,Is focal victim or aggressor?,Length of time between fight and reconciliation,Approach conspecific?,Approached by conspecific?,Facial expression?,Hold out hand,Kiss,Embrace,Other?,Touch conspecific?,Groom conspecific?,Play with conspecific?,Vocalistion?,Length of contact
Louis,24/02/2015,13:00,00:00:00,3,,x,,,,,,,,,,Heleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:00:11,3,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:00:17,3,,x,,,,,,,,,,Heleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:00:50,3,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:00,tunnel,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:11,1,,,,,,,,,,,,,Display,Rene,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:16,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:25,1,,,,,,,,,,,,,Fight,OS,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:27,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:40,1,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:44,tunnel,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:48,1,,,,,,,,,,,,,Display,Rene,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:03:05,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:03:26,1,,,,,,,,,,,,,Hoots?,OS,Yes,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:03:29,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:04:35,1,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:04:41,tunnel,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:04:50,1,,,,,,,,,,,,,Hoots,OS,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
