,,,,,STATE BEHAVIOURS ,,,AG = give/receive/mutual,,,Ag = give/receive/mutual,,*e.g. copulation; stereotypic behaviour,"For below, give names where possible",,*Near: =/< 1m,EVENTS,"*If response is to conspecifics out of sight, e.g. in aNother pod, then give 0S",,,EMOTIONAL AROUSAL,,,,,,,,,,,,,,*Full display = a combination of hoots/run/banging,,,,CONSOLATION,,,,,,Consolation behaviour recorded for fight only,,,,,,,,,,,,,,RECONCILIATION,,,,,,,,,,,,,,
Chimp,Day,Start time,Time,Pod,Fo,Re/Gr,Tr,AG,Pl,Di,Ag,OS,O*,Sitting with conspecific?,Grooming with conspecific?,*Near others?,Full Display; hoots only; or fight?,Name of conspecific(s) involved*,Does focal respond?,If fight: does focal join in?,Look towards conspecific?,Look around?,Facial expression?,Move,Piloerection,Vocalisation,Sway,Bipedal stand/bipedal move,Bipedal sway,Banging,Urinating,Bob,Crouch bob,Arm wave,*Full Display in response?,Approach aNother chimp?,Approached by?,Other?,Does focal show consolation behaviour after a fight between conspecifics?,Is consolation offered to focal individual after a fight?,Does focal offer support during a fight?,Does focal provide intervention during a fight?,Consolation offered to winner or loser?,Name of conspecific,Name of aggressor (started fight),Name of victim,Approaches conspecific?,Approached by conspecific?,Facial expression?,Hold out hand,Kiss,Embrace,Other?,Touch conspecific?,Groom conspecific?,Play with conspecific?,Vocalistion?,Length of contact,Name of conspecific(s) fought with,Is focal victim or aggressor?,Length of time between fight and reconciliation,Approach conspecific?,Approached by conspecific?,Facial expression?,Hold out hand,Kiss,Embrace,Other?,Touch conspecific?,Groom conspecific?,Play with conspecific?,Vocalistion?,Length of contact
Lianne,23/09/2014,14:00,00:00:00,2,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:10,2,,,,,,,,,,,,,Barks,OS,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:01:13,2,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:07:21,2,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:07:33,2,,x,,,,,,,,,,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:07:59,2,,,,receive,,,,,,,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:08:37,2,,,,,,,,,,,,,Hoots/Display,OS,No? (can't see her face),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:08:54,2,x,,,,,,,,,,,Pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,00:11:11,2,,,,,,,,,,,,,Display,Qafzeh?,No,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
