X1..I.like.it.when.others.look.up.to.me.,X2..I.am.attracted.to.situations.that.allow.me.to.test.my.ab,X3..It.s.not.good.to.dominate.others.,X4..I.relish.opportunities.in.which.I.can.lead.others.,X5..I.am.happy.to.do.people.favours.as.long.as.they.respect.,X6..I.feel.a.rush.of.energy.when.I.get.to.know.new.people.,X7..I.like.to.be.in.charge.of.others.,X8..I.get.a.lot.of.enjoyment.out.of.winning.an.argument.,X9..I.choose.hobbies.that.I.can.share.with.other.people.,X10..I.enjoy.manipulating.others.,X11..The.world.needs.good.leaders.,X12..Encounters.with.other.people.make.me.happy.,X13..I.want.to.be.held.in.high.esteem.by.others.,X14..I.don.t.like.if.somebody.challenges.my.authority.,X15..I.enjoy.bending.others.to.my.will.,X16..My.thoughts.permanently.revolve.around.my.loved.ones.,X17..I.try.to.control.others.rather.than.permit.them.to.cont,X18..I.like.it.when.others.compliment.me.on.my.curriculum.vi,X19..Often.I.would.rather.be.alone.than.with.a.group.of.frie,X20..I.am.willing.to.work.harder.if.this.earns.me.more.recog,X21..I.am.willing.to.use.aggressive.tactics.to.get.my.way.,X22..The.best.thing.in.life.is.to.be.a.good.leader.,X23..My.goal.is.to.do.at.least.a.little.bit.more.than.anyone,X24..Good.leaders.are.more.important.than.good.workers.,X25..I.often.share.with.others.when.I.achieved.something.gre,X26..I.spend.a.lot.of.time.visiting.friends.,X27..If.people.don.t.think.highly.of.me..I.don.t.help.them.,X28..I.have.little.interest.in.leading.others.,X29..I.feel.sad.if.nobody.recognises.my.unique.talents.and.a,X30..I.want.to.be.in.a.position.in.which.others.look.to.me.f,X31..I.celebrate.my.own.successes.with.others.more.often.tha,X32..I.try.to.be.in.the.company.of.friends.as.much.as.possib,X33..Being.respected.by.others.is.often.payment.enough.,X34..Success.means.being.respected.,X35..I.donâ..t.keep.any.secrets.from.the.people.I.love.,X36..When.people.challenge.me.I.want.to.put.them.down.hard.,X37..I.want.to.twist.others.around.my.little.finger.,X38..I.feel.conï..dent.when.directing.the.activities.of.othe,X39..I.like.to.fully.immerse.myself.in.a.relationship.,X40..I.do.not.enjoy.having.authority.over.other.people.,X41..The.best.people.in.life.are.those.who.have.the.respect.,X42..I.want.to.be.able.to.share.all.the.good.and.negative.em,X43..Being.unnoticed.by.others.is.a.terrible.thing.,X44..Others.know.it.is.better.to.let.me.have.my.way.,X45..I.go.out.of.my.way.to.meet.people.,X46..Putting.people.in.their.place.is.often.necessary.,X47..Some.people.have.to.be.in.control.over.others.,X48..If.I.am.with.other.people..it.is.mostly.me.who.makes.th,X49..Getting.close.to.someone.is.the.only.thing.that.matters,X50..I.am.happy.when.I.can.present.my.achievements.to.others,X51..It.s.probably.a.good.thing.that.certain.groups.are.at.t,X52..I.am.often.the.leader.,X53..Finding.a.soul.mate.is.important.for.me.,X54..I.avoid.positions.with.responsibility.over.others.,X55..It.is.better.to.do.good.than.to.do.bad.,X56..It.doesn.t.matter.if.I.don.t.get.the.credit.for.my.work,X57..I.want.to.be.well.known.to.a.lot.of.people.,X58..I.often.try.to.get.my.own.way.regardless.of.what.others,X59..I.like.to.make.as.many.friends.as.I.can.,X60..I.can.easily.detect.when.people.want.to.challenge.me.,X61..When.things.need.to.be.changed.in.the.group..I.step.up.,X62..I.make.a.good.leader.,X63..Sometimes.I.feel.a.deep.connection.and.complete.unity.w,X64..It.is.not.important.to.me.that.others.value.my.opinion.,X65..I.like.it.when.I.have.the.ï..nal.say.,X66..I.would.like.to.be.an.executive.with.power.over.others.,X67..High.social.status.,X68..Continuously.engage.in.new..exciting..and.challenging.g,X69..Dominating.others.,X70..Opportunities.to.take.on.more.difficult.and.challenging,X71..Strong.leadership.,X72..Be.able.to.exert.influence.,X73..Opportunities.to.influence.others.,X74..Recognition.from.others.,X75..Maintaining.high.standards.for.the.quality.of.my.work.,X76..Getting.others.to.do.what.I.want.,X77..Opportunities.to.create.new.things.,X78..Engage.in.a.lot.of.activities.with.other.people.,X79..Have.a.wide.circle.of.friends.,X80..Personally.producing.work.of.high.quality.,X81..Projects.that.challenge.me.to.the.limits.of.my.ability.,X82..Be.respected.and.admired.by.other.people.,X83..Continuously.improve.myself.,X84..To.be.in.a.leadership.position.in.which.others.work.for,X85..Personally.doing.things.better.than.they.have.been.done,X86..The.opportunity.to.exercise.control.over.an.organizatio,X87..Have.a.close..intimate.relationship.with.someone.,X88..A.position.with.prestige.,X89..Give.sympathy.and.love.to.other.people.,X90..Not.being.separated.from.the.people.I.really.care.about,Age.in.years.,subject,gender
3,4,5,2,4,2,2,3,2,1,5,2,4,3,2,6,2,4,5,5,3,3,3,4,3,2,3,3,3,3,2,2,4,3,5,3,2,3,5,2,4,4,3,3,2,3,4,2,3,3,5,3,5,3,6,4,2,3,3,3,3,3,5,4,3,3,2,3,1,3,2,2,2,3,5,2,3,3,3,5,4,4,4,2,2,2,5,3,5,5,32,338,male
5,4,2,3,6,4,2,6,4,2,4,5,5,4,2,4,1,6,2,4,1,2,2,2,5,4,2,2,5,3,3,4,3,4,6,2,1,3,5,3,3,4,6,2,2,3,3,3,3,4,2,2,6,4,5,5,3,1,4,3,3,2,5,5,4,2,3,2,1,1,1,2,2,4,4,2,4,4,5,4,3,3,3,2,2,2,6,3,5,5,23,339,female
5,6,1,3,2,4,2,4,2,1,4,4,3,3,1,4,3,4,6,3,1,2,3,3,4,3,1,4,4,3,3,3,3,3,4,1,1,4,3,4,3,4,4,2,2,1,1,2,3,4,1,2,2,4,5,4,4,3,2,4,4,3,4,4,2,2,2,6,2,5,3,3,3,4,4,2,6,2,2,5,5,4,4,2,3,2,3,3,4,4,44,341,female
4,6,2,4,5,2,5,6,2,1,5,2,5,4,2,4,4,6,5,6,2,4,4,4,5,2,4,4,5,5,4,2,5,5,4,3,2,4,5,4,4,5,4,5,2,3,2,3,2,4,1,4,6,4,6,4,4,2,2,3,4,4,5,4,4,4,3,3,1,4,4,5,5,6,5,1,3,2,2,5,6,6,5,2,4,2,6,4,3,6,29,342,male
4,4,2,3,4,4,4,4,3,2,4,4,4,6,1,2,4,3,6,4,2,2,4,1,2,3,4,3,3,5,3,2,5,5,4,2,1,6,5,4,4,4,3,2,2,3,3,5,3,1,1,6,4,5,6,4,2,3,2,4,5,5,5,5,4,3,3,5,1,5,3,3,2,4,5,2,5,1,2,5,4,5,6,3,3,2,5,3,3,2,61,343,female
5,5,4,5,5,3,5,5,3,3,5,3,5,5,4,2,3,5,5,5,5,3,5,3,4,2,4,5,3,4,3,2,3,4,4,3,3,4,4,4,3,4,3,4,2,3,4,4,2,4,3,4,3,5,5,4,4,3,2,4,5,5,2,4,4,4,3,5,3,4,4,4,4,4,5,3,5,2,2,5,5,4,5,4,5,3,4,3,3,3,27,344,female
6,6,5,6,6,4,6,4,1,1,5,5,6,6,4,6,5,6,6,6,3,5,2,2,1,1,6,6,2,6,4,1,3,6,6,6,4,6,5,6,6,5,4,6,1,5,4,5,1,6,1,6,1,6,6,6,2,6,2,6,6,6,5,6,6,6,2,2,3,6,4,4,4,5,5,6,1,1,1,5,4,6,5,6,1,6,2,6,5,6,26,345,female
5,5,2,4,5,2,4,6,2,5,6,4,4,2,2,5,4,4,4,3,3,3,4,3,4,3,5,4,2,4,3,3,4,3,6,3,2,4,6,3,4,6,2,2,1,5,5,5,6,5,4,4,6,4,6,5,3,3,2,4,4,4,6,4,4,4,2,5,2,5,4,4,4,4,5,3,5,3,3,5,5,5,5,4,4,3,6,3,6,6,38,346,male
5,5,2,5,5,5,5,2,3,1,6,5,5,4,1,4,2,5,4,4,1,5,4,4,4,3,2,5,2,5,2,4,5,5,4,2,1,5,5,3,5,5,2,2,4,2,3,2,4,4,1,5,5,5,6,2,4,2,4,4,4,5,4,3,4,3,2,5,1,5,4,2,2,2,5,1,6,4,2,5,5,4,6,3,4,2,6,4,5,4,33,347,male
6,6,4,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,1,6,4,6,6,6,6,6,6,2,1,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,26,348,female
4,4,2,3,4,4,3,3,4,2,4,4,3,2,2,4,2,4,3,4,3,3,3,3,4,3,2,3,3,3,3,4,3,3,3,2,2,3,3,3,3,4,2,2,3,2,2,3,3,3,1,3,3,3,6,3,3,3,3,3,3,3,4,4,3,3,2,4,1,4,2,2,2,2,5,1,4,4,3,5,5,2,5,2,4,1,3,2,4,3,29,349,male
4,5,2,3,4,3,3,4,2,2,5,3,2,4,2,2,4,4,5,3,2,2,2,2,3,2,3,2,2,3,2,3,3,2,2,3,2,4,5,2,3,5,2,2,3,3,3,3,2,2,2,4,2,3,5,3,2,3,3,5,4,4,4,2,3,2,1,3,1,3,1,1,1,2,5,1,3,2,2,5,3,2,4,2,4,1,3,2,5,2,61,350,male
5,5,2,5,6,6,5,5,5,2,6,5,5,3,2,5,4,3,3,3,3,4,4,3,5,5,2,4,3,4,3,4,5,5,6,2,2,5,6,2,5,6,3,2,5,3,2,4,4,4,1,4,6,4,6,3,4,2,3,4,4,4,4,3,4,4,1,4,2,4,4,4,4,3,5,2,6,5,4,4,5,6,6,3,4,4,5,2,6,5,35,351,female
5,3,4,4,3,2,4,5,4,3,5,3,5,4,4,4,5,4,4,5,4,2,4,3,5,2,4,5,5,5,4,3,2,4,2,4,4,4,3,5,3,3,5,4,2,4,4,5,5,5,4,5,3,5,6,5,4,5,3,5,4,5,4,5,5,5,4,4,3,3,4,5,5,5,4,4,4,3,2,4,2,5,5,5,5,4,3,5,4,5,35,352,male
3,4,2,3,4,3,3,3,2,1,5,3,3,3,3,3,2,4,5,4,2,2,3,2,3,2,3,2,2,3,3,2,3,3,3,2,2,2,3,3,2,3,2,2,2,2,3,3,1,3,1,2,3,3,6,3,2,2,2,4,3,3,3,3,2,2,2,3,1,3,2,2,2,2,6,2,4,2,1,6,3,2,4,1,2,1,2,2,4,3,34,353,female
4,4,1,3,5,4,3,4,4,1,6,4,4,4,1,6,1,4,3,5,1,4,4,3,4,3,1,4,3,4,3,4,5,3,6,1,1,4,6,4,4,5,2,1,4,2,4,4,5,5,3,4,6,5,6,3,3,1,4,4,4,4,6,3,3,2,1,5,1,5,3,3,3,2,5,2,4,3,3,5,4,3,5,2,4,2,6,1,6,6,21,354,female
5,4,1,2,4,2,2,4,1,1,6,2,5,5,2,3,4,4,6,4,1,2,5,4,2,1,5,2,5,3,2,1,4,4,2,2,1,2,5,3,4,5,2,6,1,3,3,5,1,4,4,1,3,1,6,5,2,5,1,5,3,3,2,5,4,1,1,2,1,3,2,5,5,3,6,3,5,1,1,6,6,3,4,1,6,1,2,1,4,3,27,355,female
3,5,1,3,6,3,3,1,3,1,6,5,5,4,1,6,1,1,6,3,1,1,3,1,1,1,1,2,1,1,1,1,4,1,6,1,1,1,6,2,6,5,1,1,3,1,5,1,1,1,6,1,1,2,6,2,1,1,3,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,6,1,4,1,1,6,3,2,6,1,2,1,1,1,6,6,62,356,female
4,5,4,3,4,2,2,4,3,1,4,4,5,4,2,4,3,3,5,4,3,2,4,3,4,3,5,2,3,3,3,2,3,4,4,3,1,3,4,3,3,4,2,2,3,3,3,3,3,4,3,3,4,4,5,4,3,3,3,4,4,4,3,4,3,2,3,5,1,4,4,2,2,4,4,2,4,3,2,5,4,4,4,2,4,3,5,3,4,4,28,357,male
6,5,2,5,3,4,2,2,4,4,6,5,4,4,2,2,3,2,4,5,4,4,3,2,5,4,4,5,3,5,3,2,4,5,5,4,2,5,5,4,3,5,2,3,1,1,5,2,5,5,1,3,6,2,5,4,4,2,2,5,4,5,5,5,3,4,3,5,2,5,5,3,4,5,6,2,5,3,5,6,5,5,5,5,2,4,6,2,6,5,26,358,male
6,6,6,6,6,6,6,6,4,5,6,6,6,1,4,5,4,4,6,6,6,6,6,4,4,5,1,5,4,5,4,6,5,6,4,4,6,4,6,6,5,6,6,4,6,5,5,6,5,6,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,3,4,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,4,29,359,male
5,4,2,2,5,2,2,5,2,2,6,5,5,2,2,5,2,3,2,5,2,2,2,2,4,2,2,3,4,2,2,4,4,2,2,2,2,2,5,2,5,5,2,2,2,2,2,2,2,4,1,2,4,5,4,5,4,2,4,2,2,2,4,5,4,2,1,4,2,2,2,4,4,4,4,2,4,3,4,4,2,4,4,2,4,2,4,4,4,4,52,360,female
3,2,1,1,3,1,1,4,2,1,1,2,2,5,2,1,1,1,6,3,1,1,2,1,5,1,1,1,2,1,4,1,3,1,1,5,1,1,3,1,1,1,1,3,1,3,2,1,1,4,1,1,3,1,6,2,1,3,1,5,1,1,4,6,2,1,2,1,1,1,1,4,2,2,5,4,3,1,1,6,1,2,2,1,3,1,3,1,3,4,48,361,male
5,3,5,5,3,5,6,6,5,5,6,5,4,6,5,5,6,6,5,6,5,5,5,6,5,6,6,2,5,6,5,6,5,5,4,6,5,4,4,2,5,4,4,4,6,5,6,5,5,6,4,5,5,1,5,2,4,4,6,5,5,5,5,1,6,5,5,4,5,5,3,6,4,4,6,5,4,4,3,3,2,5,5,6,5,5,5,4,6,6,29,362,male
6,6,1,6,6,4,5,5,5,1,6,5,6,4,1,5,1,6,4,6,5,6,5,2,5,5,3,4,5,6,4,5,5,6,5,2,2,5,5,3,6,6,4,1,4,4,4,4,4,6,4,5,6,3,6,6,4,1,5,5,6,6,5,6,4,6,1,6,1,6,6,4,4,6,6,1,6,6,6,6,6,6,6,4,6,4,6,5,6,6,35,363,female
6,5,5,5,5,6,5,6,5,3,6,6,6,5,5,5,5,6,2,6,5,4,5,5,6,5,3,4,6,6,5,5,5,5,4,4,3,4,4,5,6,5,5,4,5,4,5,5,4,6,4,4,4,5,6,6,6,5,5,5,5,5,5,5,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,35,364,male
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,2,4,3,3,1,1,1,3,2,1,2,3,3,4,3,3,3,3,2,2,4,2,2,1,2,2,5,4,4,4,3,3,1,3,3,3,4,4,3,4,1,3,3,3,3,3,3,3,4,3,3,2,1,4,3,3,3,3,3,3,3,3,3,3,36,365,male
5,5,2,6,5,5,2,4,5,1,6,5,5,4,1,4,4,4,4,3,1,3,4,4,3,2,3,4,3,4,3,4,4,4,5,2,2,4,4,4,4,5,4,1,3,1,3,3,4,3,2,4,5,4,6,3,4,1,5,3,4,4,5,2,3,3,3,5,1,4,4,2,3,3,6,2,5,4,5,6,6,5,6,4,5,2,6,4,5,6,54,366,female
5,4,4,4,5,5,3,5,2,2,6,5,6,6,1,5,2,5,4,5,6,4,2,4,5,2,3,4,4,5,3,2,4,4,5,5,2,4,6,5,5,5,5,2,2,4,2,3,5,5,4,2,6,5,6,4,2,3,2,5,5,4,3,2,4,4,3,4,1,4,3,3,3,4,5,6,5,4,3,4,4,5,6,5,5,5,6,5,5,6,34,367,male
4,6,1,4,6,6,3,1,1,1,6,6,5,1,1,5,1,5,5,1,1,4,4,1,5,1,1,4,1,5,2,1,1,4,6,1,1,6,6,1,3,5,1,1,5,1,1,1,4,4,1,5,6,6,6,3,2,1,3,5,5,6,6,5,3,2,1,6,1,1,6,2,5,2,6,1,6,6,4,6,6,6,6,4,5,1,6,6,6,6,25,368,female
5,5,1,5,5,5,4,6,5,1,6,5,5,2,1,5,1,5,4,5,3,2,4,2,5,5,3,4,5,5,3,5,5,5,2,1,1,4,5,4,3,5,2,2,5,2,2,3,2,5,1,3,5,4,6,5,5,2,5,2,2,2,4,5,4,4,5,5,1,5,4,2,2,5,5,1,5,5,5,5,5,5,6,5,5,2,5,5,6,5,22,369,male
4,5,6,2,4,4,1,2,4,1,5,5,4,4,1,5,4,4,4,4,2,5,4,5,3,4,2,1,2,4,2,3,4,4,2,1,2,3,4,5,4,5,2,3,4,1,5,2,5,3,1,1,4,5,5,4,2,2,1,3,4,4,5,5,4,1,2,5,1,5,4,4,5,4,6,2,5,4,3,5,4,3,4,4,5,3,4,4,5,5,42,370,female
6,6,1,5,4,5,3,5,4,2,6,5,6,5,2,4,2,5,6,6,1,5,5,3,5,3,3,2,4,3,3,3,5,4,4,4,2,3,4,4,5,5,5,3,3,1,1,2,3,5,1,4,4,4,6,5,3,3,5,5,4,4,5,5,4,2,2,4,1,3,2,3,3,5,6,5,5,3,4,6,4,6,6,2,6,1,5,5,6,6,61,371,female
6,6,2,5,5,3,5,4,3,1,6,4,5,4,2,5,5,4,3,4,5,4,5,3,4,2,2,5,3,6,3,3,6,4,5,3,1,6,5,5,3,4,4,3,3,3,5,4,4,5,2,6,5,3,4,4,4,2,4,2,6,5,4,4,6,4,3,6,3,6,5,5,6,4,6,3,6,3,3,6,6,5,6,5,5,2,4,5,6,6,31,372,female
4,5,3,4,4,5,3,3,3,2,5,5,4,3,2,4,4,3,3,3,2,4,4,5,4,5,3,4,3,4,3,4,4,5,5,2,2,4,4,4,4,4,4,2,5,2,3,3,3,3,4,4,4,4,5,3,3,3,5,3,4,4,4,4,3,3,2,3,1,4,4,4,4,4,5,2,4,5,5,5,4,3,5,3,4,1,5,3,4,5,67,373,female
4,4,1,3,6,4,3,4,4,1,6,6,4,4,1,4,4,4,3,1,1,1,3,3,4,3,1,1,1,1,1,4,4,4,3,3,1,3,3,3,2,4,3,4,3,3,1,3,3,3,1,1,4,3,5,3,2,3,4,4,4,4,5,4,4,1,1,6,1,4,1,1,1,1,6,1,6,6,3,6,4,2,6,1,2,1,5,1,6,6,35,374,female
