"","chimp","ageDays","sex","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal"
"1","Abby",2.34246575342466,0,12100,5.78,41.7,14,72.1,24.2,33.6,0.058,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abby",4.11780821917808,0,10600,5.35,40.9,13.6,76.4,25.4,33.3,0.048,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abby",5.32054794520548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,14,0.7,7.2,3.8,0.1,1030,39,24,219,9.9,3.1,139,4.1,104,3.4,82,19,276
"4","Abby",1.23835616438356,0,16800,5.4,39.6,13.1,73.3,24.3,33.1,0.06,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Abby",6.45479452054794,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,13,0.6,7.3,3.9,0.1,743,28,33,185,9.9,3.9,144,4.2,107,3.4,87,14,284
"6","Abby",7.33698630136986,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,13,0.8,6.8,3.6,0.4,684,29,19,164,9.8,3.5,140,4.2,114,3.2,89,18,277
"7","Abby",8.29041095890411,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,13,0.8,7.3,4,0.2,740,38,24,175,10.3,3.4,141,4,104,3.3,78,20,278
"8","Abby",13.5424657534247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Abby",14.7369863013699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abby",15.5561643835616,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Agatha",5.63561643835616,0,15300,5.06,41.2,14.1,81.4,27.9,34.2,0.029,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Agatha",6.68767123287671,0,10700,5,42.4,13.8,84.8,27.6,32.5,0.05,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Agatha",7.70684931506849,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,9,0.8,7.3,4.1,0.2,572,25,14,238,10.3,3.1,136,4,106,3.2,62,37,268
"15","Agatha",8.62739726027397,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,7,1,7.5,4.2,0.2,373,31,15,205,9.7,3.3,145,3.8,104,3.3,132,35,285
"16","Agatha",9.77260273972603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,11,0.9,6.8,3.6,0.2,207,33,13,199,9.2,3.1,134,3.7,103,3.2,53,21,265
"17","Agatha",26.8246575342466,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Agatha",10.5232876712329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,10,0.9,7.1,3.7,0.1,163,22,19,206,9.3,3.9,140,4.2,106,3.4,67,20,276
"19","Agatha",18.0684931506849,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Agatha",18.5753424657534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Agatha",4.75068493150685,0,8400,5.02,40.5,14,80.7,27.9,34.6,0.044,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Alice",35.4109589041096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,25,1.2,6.8,2.6,0.8,110,61,27,476,9.6,4.1,134,3.9,97,4.2,199,NA,NA
"24","Alice",36.372602739726,0,21000,3.86,35.6,11.7,92.2,30.3,32.9,0.078,0,0,113,31,1.7,6.4,2.4,0.5,148,65,27,449,9.5,2.6,137,3.8,99,4,196,NA,NA
"25","Alice",38.0931506849315,0,22000,3.69,34.1,11,92.4,29.8,32.3,0.055,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Alice",38.3972602739726,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,53,2.3,6.8,2.5,0.2,215,43,25,426,11.5,2.7,134,4.2,99,4.3,264,318,282
"27","Alice",37.3808219178082,0,22900,3.84,35.6,11.6,92.7,30.2,32.6,0.061,9,1,117,36,1.6,6.6,2.3,0.3,167,53,28,492,8.9,3.6,134,3.9,101,4.3,186,267,276
"28","Alicia",6.71780821917808,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,19,0.8,7.7,3.6,0.3,405,24,15,203,9.9,4.5,134,4.1,94,4.1,89,NA,NA
"29","Alicia",7.84931506849315,0,17100,4.98,42.5,14.6,85.3,29.3,34.4,0.015,3,0,44,7,0.8,6.8,3,0.3,812,18,20,146,9.1,4,132,4,99,3.8,82,NA,NA
"30","Alicia",8.78630136986301,0,7700,4.78,41,13.9,85.8,29.1,33.9,0.05,6,4,68,20,0.9,7.1,2.9,0.2,122,28,18,201,9.6,3.2,129,4.5,96,4.2,27,22,259
"31","Alicia",10.4383561643836,0,12200,4.87,41.4,13.9,85,28.5,33.6,0.031,2,1,70,7,0.7,8.1,4,0.1,157,31,19,209,8.9,3,137,3.2,102,4.1,59,24,267
"32","Amanda",18.5123287671233,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Amanda",20.1232876712329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Amanda",20.1342465753425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Amanda",7.58356164383562,0,7100,5.26,42.5,14.3,80.8,27.2,33.6,0.06,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Amanda",8.16438356164384,0,20400,4.34,34.6,11.5,79.7,26.5,33.2,0.053,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Amanda",16.9232876712329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Amanda",6.45479452054794,0,9400,5.44,43.3,14.6,79.6,26.8,33.7,0.04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Amanda",10.5424657534247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,9,1,7.5,3.6,0.2,408,26,14,208,9.2,3.4,136,3.5,99,3.9,94,22,270
"41","Amanda",9.62191780821918,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,8,1,7.1,3.7,0.2,405,29,14,201,10.1,3.7,139,4.3,105,3.4,57,29,276
"43","Amanda",11.5917808219178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,9,0.5,7.6,4,0.3,254,26,13,203,9.8,2.6,136,3.3,97,3.6,111,19,267
"44","Amanda",8.56164383561644,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,9,0.9,7.1,3.7,0.2,477,39,19,176,9.3,2.8,135,3.8,98,3.4,88,22,268
"45","Amos",15.2493150684931,1,8300,6.29,48.5,16.3,77.1,25.9,33.6,0.028,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Amos",16.3342465753425,1,13900,6.07,47.6,16.5,78.4,27.2,34.7,0.008,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Amos",17.2904109589041,1,17700,6.16,49.3,16.9,80,27.4,34.3,0.011,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Amos",19.3041095890411,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,15,1.2,8.6,3.8,0.2,140,56,42,198,10,3.4,143,3.8,101,4.8,129,28,284
"49","Amos",20.3013698630137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,13,0.9,8.2,3.6,0.2,201,51,41,208,9.9,3,143,3.9,98,4.6,149,19,283
"50","Amos",21.2602739726027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,15,1.1,7.8,3.5,0.2,134,50,44,191,9.2,2.8,136,3.6,100,4.3,116,19,269
"51","Amos",22.2082191780822,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,16,0.9,8.3,3.9,0.2,97,54,39,219,10.4,4.1,142,4,99,4.4,106,29,282
"52","Anja",23.2493150684931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,11,0.9,8.4,3.5,0.2,84,31,20,214,9.3,2.3,138,2.7,98,4.9,155,18,272
"53","Anja",24.2876712328767,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,14,0.9,8.9,3.4,0.1,97,40,17,199,9.3,4,140,3.4,97,5.5,177,22,277
"54","Anja",21.2794520547945,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,10,1.2,7.8,3.3,0.1,75,32,23,225,8.9,3.7,142,3.2,101,4.5,119,21,280
"55","Anja",23.2356164383562,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,13,1.2,8.2,3.2,0.2,92,33,20,206,9.3,4.5,140,4.2,100,5,180,224,277
"56","Anja",17.186301369863,0,7600,5.05,40.9,13.6,81,26.9,33.3,0.025,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Anja",18.1835616438356,0,12100,5.44,45,15,82.7,27.6,33.3,0.055,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Anja",27.6575342465753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Anja",19.1479452054795,0,18700,5.13,42.3,13.4,82.5,26.1,31.7,0.043,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Anja",28.5643835616438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Anja",29.613698630137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Anna",42.9287671232877,0,8100,4.35,35.8,10.8,82.3,24.8,30.2,0.04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Anna",43.041095890411,0,6600,4.45,35.7,11.1,80.2,24.9,31.1,0.045,0,7,112,22,0.8,8,2.8,0.3,57,29,24,192,8.9,3.8,142,3.2,98,5.2,149,NA,NA
"64","Anna",43.9452054794521,0,7500,4.95,40.7,13,82.2,26.3,31.9,0.041,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Anna",43.9479452054794,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,11,1,8.6,3.5,0.1,119,30,33,185,8.1,2.3,144,2.9,101,5.1,309,29,283
"66","Anna",45.041095890411,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,14,1.2,8.1,3.4,0.1,191,68,43,182,9.3,1.9,145,2.9,98,4.7,200,73,288
"67","Anna",45.3506849315068,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,78,2.6,6.9,2,4.5,242,140,177,225,6.7,10.9,145,3.3,93,4.9,145,469,311
"68","Artemus",6.46575342465753,1,19400,5.51,44.9,14.9,81.5,27,33.2,0.014,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Artemus",8.52054794520548,1,13100,5.47,45.9,15.4,83.9,28.2,33.6,0.015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Artemus",10.6027397260274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,9,1.2,7.5,4.4,0.4,215,23,15,206,9.5,3.3,142,3.5,103,3.1,150,38,280
"71","Artemus",11.8301369863014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,11,1,7.4,3.9,0.2,169,24,18,206,9.9,2.2,147,4,113,3.5,96,26,290
"72","Artemus",7.5013698630137,1,14000,5.52,45.9,15.4,83.2,27.9,33.6,0.006,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Artemus",19.1178082191781,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Artemus",12.4904109589041,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12,1.4,7.3,3.8,0.3,115,21,14,217,9.6,3.7,139,4.1,100,3.5,131,28,275
"75","Artemus",13.4246575342466,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,9,1,6.9,3.8,0.3,104,27,14,216,10.6,4.7,143,4.4,104,3.1,461,33,281
"77","Artemus",19.6191780821918,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Artemus",18.1424657534247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Arthur",7.51780821917808,1,14300,5.29,41.7,14.3,78.8,27,34.3,0.02,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Arthur",13.5232876712329,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,11,1.2,7.2,4.1,0.3,139,46,41,191,10,3.3,144,3.7,103,3.1,88,24,287
"82","Arthur",9.43835616438356,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,11,1.3,7.2,4.4,0.3,350,26,30,177,10.7,2.2,18,3.7,100,2.8,81,23,274
"83","Arthur",11.6575342465753,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,10,1.3,7.4,4.3,0.3,129,32,27,182,9.8,2.4,134,3.5,96,3.1,75,14,267
"84","Arthur",12.558904109589,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,12,1.2,7.1,4.2,0.3,73,25,27,169,10.7,2.9,143,3.5,101,2.9,94,17,283
"85","Arthur",6.51780821917808,1,8600,5.02,39.7,13,79.1,25.9,32.7,0.05,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Arthur",5.46849315068493,1,7900,5.09,42.1,13.2,82.7,25.9,31.4,0.043,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Arthur",14.5424657534247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Arthur",15.7808219178082,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Arthur",17.7205479452055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Artifee",26.8958904109589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,9,0.7,6.6,3.1,0.2,70,44,17,234,9,2.3,137,3.4,101,3.5,84,52,270
"91","Artifee",27.9287671232877,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,14,1.2,7.4,3.4,0.3,53,48,17,250,9.3,2.5,145,3.6,104,4,126,56,286
"92","Artifee",22.8493150684932,0,15500,5.16,43.1,13.9,83.5,26.9,32.3,0.044,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Artifee",24.827397260274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,12,0.9,7.3,3,0.2,73,59,23,232,9.3,2,135,3.5,97,4.3,116,92,268
"94","Artifee",20.8027397260274,0,17000,5.14,38.8,12,75.5,23.3,30.9,0.04,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Artifee",21.8109589041096,0,14000,5.07,41.5,13.1,81.9,25.8,31.6,0.033,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Artifee",25.9342465753425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,9,1.1,7.5,3.4,0.2,66,44,19,240,10.1,2.7,138,3.4,104,4.1,107,61,272
"97","Atlanta",30.9452054794521,0,7600,5.44,44.6,13.9,82,25.6,31.2,0.049,2,0,82,14,0.7,7.5,3.2,0.4,68,33,13,189,10.2,4.8,141,3.3,99,4.3,105,NA,NA
"98","Atlanta",32.3671232876712,0,11700,5.28,41.1,12.4,77.8,23.5,30.2,0.05,7,1,107,17,0.4,7.7,3,0.3,68,41,22,212,9.2,3.3,144,3.2,91,4.7,182,NA,NA
"99","Atlanta",33.386301369863,0,18800,5.95,49.1,15,82.5,25.2,30.5,0.062,7,0,123,15,1,7.4,3.1,0.1,68,38,19,151,9.8,1.6,145,3.4,98,4.3,384,24,288
"100","Atlanta",35.0082191780822,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,10,1,7.9,3,0.1,82,24,19,203,10.3,5.1,146,3.3,102,4.9,286,22,288
"101","Augusta",22.5917808219178,0,24500,4.9,40.9,13.4,83.5,27.3,32.8,0.036,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Augusta",23.6630136986301,0,11000,4.49,38.1,12.7,84.9,28.3,33.3,0.06,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Augusta",24.6246575342466,0,14400,4.68,39.7,13.1,84.8,28,33,0.034,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Augusta",25.6054794520548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,8,1.2,7.7,3.8,0.2,108,23,16,190,9.3,3.5,139,3.6,103,3.9,68,19,273
"105","Augusta",26.6767123287671,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,6,0.9,7.2,3.8,0.2,80,23,15,198,8.9,2.3,145,3.8,104,3.4,66,17,284
"106","Augusta",27.6328767123288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,6,0.8,7.4,3.6,0.2,59,21,6,201,9.3,3.1,138,3.5,105,3.8,72,14,270
"107","Augusta",28.6547945205479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,10,1,7.2,3.4,0.3,56,22,17,196,9,3.7,141,3.7,103,3.8,137,16,277
"108","Azalea",11.441095890411,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
