Animal,Rater,Date,Facility,Fearful,Dominant,Cautious,Curious,Innovative,Bullying,Submissive,Cool,Quitting,Erratic,Anxious,Socially withdrawn,Stable,Autistic,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Active,Helpful,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Conventional,Sensitive,Defiant,Intelligent,Protective,Inventive,Clumsy,Friendly,Lazy,Disorganized,Unemotional,Imitative,Independent,Persistent
EE297164,KB1,04/05/2016,ZX6012,2,6,2,3,3,5,2,5,2,2,2,4,5,2,2,6,5,4,2,6,2,2,5,4,4,2,3,4,5,7,3,5,3,3,3,2,5,2,6,6,6,5,2,6,4,3,2,6,5,2,6,4,6,5
EE297164,CF2,04/05/2016,ZX6012,2,6,2,7,6,6,2,3,4,5,2,2,3,1,3,7,7,5,6,5,4,2,3,5,3,2,4,3,6,6,2,4,5,5,7,2,6,5,3,7,3,3,6,4,6,6,5,4,4,3,3,4,6,6
NM268979,KB1,04/05/2016,ZX6012,4,3,3,6,5,4,3,5,7,6,3,1,4,2,5,3,4,5,5,6,7,3,4,7,2,4,7,4,3,4,5,5,6,6,7,4,2,3,3,5,3,4,4,5,4,6,6,5,1,6,4,6,6,4
NM268979,CF2,04/05/2016,ZX6012,4,5,3,6,5,4,3,3,6,5,3,1,3,1,5,4,4,5,5,6,6,3,4,6,2,3,6,4,4,5,4,6,5,5,6,4,4,3,3,5,3,3,5,3,4,5,3,6,2,5,3,6,4,5
OQ814451,KB1,04/05/2016,ZX6012,1,7,1,6,1,6,1,6,2,2,1,2,7,1,1,7,6,7,5,5,2,1,2,3,4,1,4,2,6,7,1,4,2,4,6,1,6,3,5,7,6,4,1,7,3,4,1,3,3,2,6,2,7,4
OQ814451,CF2,04/05/2016,ZX6012,1,7,1,4,5,6,1,5,3,2,2,2,5,2,1,6,6,5,7,3,3,1,3,1,5,1,3,3,5,5,2,3,3,4,4,1,6,3,6,7,6,5,7,5,5,5,4,3,5,1,5,4,7,7
OT229421,KB1,04/05/2016,ZX6012,7,1,7,1,1,1,7,1,5,6,7,5,1,7,1,1,1,4,1,3,4,7,6,2,3,6,5,4,1,1,5,5,5,5,1,7,1,2,3,2,2,4,1,2,3,1,5,6,2,5,1,5,1,4
OT229421,CF2,04/05/2016,ZX6012,6,1,7,3,5,1,7,7,4,1,6,6,7,6,5,1,1,5,1,1,4,7,6,3,7,6,3,7,1,1,7,1,1,1,3,7,1,5,7,1,7,3,1,2,1,5,4,1,5,5,7,3,1,1
AW318767,KB1,04/05/2016,ZX6012,6,2,6,2,1,1,6,2,5,5,6,5,2,7,1,1,1,2,2,1,5,6,4,2,2,4,5,4,2,1,5,4,5,5,4,6,2,4,2,2,1,3,1,2,3,2,5,3,3,5,2,4,3,2
AW318767,CF2,04/05/2016,ZX6012,4,1,7,2,3,1,7,7,4,1,6,5,7,6,5,1,1,4,1,2,4,6,6,2,6,5,2,6,1,1,7,2,1,1,2,6,1,5,7,2,7,3,1,3,2,3,6,2,6,5,7,2,2,1
